;Setembro;20/09/2012;Equipe anterior;;SRD;Acesso em caráter temporário;Uso de capacidade remanescente do sistema elétrico por central geradora que necessite utilizar o sistema por prazo previamente definido.;Revogado;Resolução Normativa ANEEL n. 506, de 4 de setembro de 2012 (Diário Oficial, de 19 set. 2012, seção 1, p. 78) (REVOGADA);http://www.aneel.gov.br/cedoc/ren2012506.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;12/07/2023;Victoria;;STD;Acesso temporário ou flexível (Transmissão);"Uso de capacidade remanescente do sistema de transmissão por
tempo determinado, conforme regras e condições estabelecidas pela
ANEEL.";Vigente;Despacho ANEEL n. 2.100, de 4 de julho de 2023 (Diário Oficial da União, de 07 jul. 2023, seção 1, p. 96) Anexo I - Submódulo 1.2 - Glossário;https://www2.aneel.gov.br/cedoc/dsp20232100.pdf;https://www2.aneel.gov.br/cedoc/adsp20232100_2.pdf;Não se Aplica;Usar qualificador Transmissão;Termo Novo;;;;;
;Maio;15/05/2023;Victoria;;ANEEL;Acidente (Barragem);Comprometimento da integridade estrutural com liberação incontrolável do conteúdo do reservatório, ocasionado pelo colapso parcial ou total da barragem ou de estrutura anexa.;Vigente;Resolução Normativa ANEEL n. 1.064, de 2 de maio de 2023 (Diário Oficial, de 11 maio 2023, seção 1, p. 198);https://www2.aneel.gov.br/cedoc/ren20231064.pdf;_;Não se Aplica;;Termo Novo;;;;;
;Junho;26/06/2025;Uriane;;STD;Acordo bilateral (CCEAR);Compensação financeira pelo efeito tarifário decorrente de acordo bilateral entre partes signatárias de Contrato de Comercialização de Energia no Ambiente Regulado – CCEAR.;Vigente;Resolução Normativa ANEEL n. 1.117, de 8 de abril de 2025 (Diário Oficial, de 11 abr. 2025, seção 1, p. 99), Anexo: PRORET, Submódulo 4.4A - Demais Componentes Financeiros;https://www2.aneel.gov.br/cedoc/ren20251117.pdf;https://www2.aneel.gov.br/cedoc/aren20251117_2_1.pdf;;;Termo Novo;;;;;
;Julho;24/07/2013;Equipe anterior;;_;Acordo de compra de sobras líquidas contratuais;Documento contratual, celebrado entre as partes em julho de 2002, que tem por objeto regular o tratamento a ser dado pelo comprador e vendedor, às sobras líquidas contratuais, no período entre 1º de abril de 2001 e 31 de dezembro de 2002, inclusive.;Revogado;Resolução ANEEL n. 447, de 23 de agosto de 2002 (Diário Oficial, de 26 ago. 2002, seção 1, p. 97) (REVOGADA);http://www.aneel.gov.br/cedoc/res2002447.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;16/07/2021;Letícia;;SFT, SGA, ASI, SMA;Acordo de interesses;Instrumento celebrado entre a ANEEL e o Estado-membro, que estabelece as condições para o compartilhamento de experiências, a transferência de conhecimentos e a definição dos procedimentos necessários à constituição ou habilitação de Agência destinada à execução de atividades descentralizadas de apoio à regulação e de fiscalização dos serviços e instalações de energia elétrica.;Vigente;Resolução Normativa ANEEL n. 1.151, de 10 de fevereiro de 2026 (Diário Oficial, de 23 fev. 2026, seção 1, p. 118);https://www.in.gov.br/web/dou/-/resolucao-normativa-aneel-n-1.151-de-10-de-fevereiro-de-2026-688136242;_;Não se Aplica;;SIM;;;;;
;Julho;24/07/2013;Equipe anterior;;_;Acordo de reembolso de energia livre;Documento contratual, celebrado entre as partes em julho de 2002, que tem por objeto regular o tratamento a ser dado pelas partes ao reembolso e rateio de energia livre no âmbito do Mercado Atacadista de Energia Elétrica - MAE, no período entre 1 de maio de 2001 e 31 de dezembro de 2002, inclusive.;Revogado;Resolução ANEEL n. 447, de 23 de agosto de 2002 (Diário Oficial, de 26 ago. 2002, seção 1, p. 97) (REVOGADA);http://www.aneel.gov.br/cedoc/res2002447.pdf;_;Não se Aplica;;SIM;;;;;
;Janeiro;23/01/2014;Equipe anterior;Distribuição;SRD;Acordo operativo;Acordo, celebrado entre o usuário e a distribuidora, que descreve e define as atribuições, responsabilidades e o relacionamento técnico-operacional no ponto de conexão e instalações de conexão, quando for o caso, e estabelece os procedimentos necessários ao Sistema de Medição para Faturamento - SMF.;Vigente;Resolução Normativa ANEEL n. 956, de 7 de dezembro de 2021 (Diário Oficial, de 15 dez. 2021, seção 1, p. 125), Anexo I: Módulo 1 do PRODIST – Glossário de termos;https://www2.aneel.gov.br/cedoc/ren2021956.pdf;https://www2.aneel.gov.br/cedoc/aren2021956_2.pdf;Não se Aplica;;SIM;;;;;
;Julho;12/07/2023;Victoria;;STD;Adicional à RAP (Transmissão);Valor a ser adicionado à Receita Anual Permitida (RAP) estabelecido pela ANEEL como incentivo à melhoria da disponibilidade das instalações de transmissão.;Vigente;Despacho ANEEL n. 2.100, de 4 de julho de 2023 (Diário Oficial da União, de 07 jul. 2023, seção 1, p. 96) Anexo I - Submódulo 1.2 - Glossário;https://www2.aneel.gov.br/cedoc/dsp20232100.pdf;https://www2.aneel.gov.br/cedoc/adsp20232100_2.pdf;Não se Aplica;Usar qualificador Transmissão;Termo Novo;;;;;
;Julho;24/07/2013;Equipe anterior;;SRM;Administrador do sistema (SAMP);equipe de técnicos da Superintendência de Gestão Tarifária – SGT, responsável pela administração das informações e atualização da estrutura de dados do SAMP.;Vigente;Resolução Normativa ANEEL n. 1.003, de 1º de fevereiro de 2022 (Diário Oficial, de 7 fev. 2022, seção 1, p. 79);https://www2.aneel.gov.br/cedoc/ren20221003.pdf;_;Usar qualificador;SAMP;SIM;;;;;
